seller_id,product_id,product_name,price,description,subcategory
1,4725895775,Bulgar,32.99,Networked incremental project,Health Care
3,4552783034,Chick Peas - Dried,70.78,Enhanced reciprocal emulation,Consumer Services
5,1070060348,Flour Pastry Super Fine,94.04,Persevering well-modulated synergy,Consumer Services
6,8900692028,Juice - V8 Splash,56.38,Proactive actuating analyzer,Consumer Services
7,7644835160,Lettuce - Lolla Rosa,34.64,Robust high-level core,Consumer Services
8,6405696613,Blue Curacao - Marie Brizard,47.23,Compatible impactful complexity,Transportation
10,6270171030,Sobe - Berry Energy,23.09,Multi-layered national support,Health Care
11,7447203008,Cookies - Englishbay Chochip,16.51,Multi-channelled 4th generation process improvement,Health Care
12,2092192711,Nantucket Cranberry Juice,37.74,Stand-alone non-volatile customer loyalty,Finance
13,8607964395,Snapple Lemon Tea,12.97,Managed real-time policy,Consumer Services
14,7747546325,Long Island Ice Tea,39.74,Robust object-oriented protocol,Consumer Non-Durables
15,1224798661,Pie Shell - 5,32.85,Sharable upward-trending budgetary management,Consumer Services
16,774907698,"Beef - Ox Tail, Frozen",80.18,Stand-alone asymmetric methodology,Consumer Services
17,3913194066,Triple Sec - Mcguinness,38.84,Sharable foreground definition,Miscellaneous
18,2948551953,Turkey - Ground. Lean,16.71,Stand-alone solution-oriented architecture,Health Care
23,7949374124,Beef - Prime Rib Aaa,21.67,Phased multimedia array,Consumer Services
25,125405720,Squid Ink,65.54,Phased bifurcated info-mediaries,Finance
27,1431533551,Frangelico,20.2,De-engineered object-oriented monitoring,Basic Industries
30,6308682712,Soup - Campbells Beef Noodle,60.81,Exclusive heuristic policy,Miscellaneous
31,7041033451,Lid Tray - 16in Dome,90.76,Phased even-keeled functionalities,Energy
35,547828160,Baking Soda,1.02,User-centric zero defect budgetary management,Public Utilities
36,2705733837,Miso - Soy Bean Paste,53.28,Focused national adapter,Technology
38,5474370598,Wine - Zinfandel California 2002,37.66,Virtual encompassing monitoring,Consumer Services
43,1749871606,Tea - Jasmin Green,16.22,Multi-lateral impactful moderator,Technology
47,6111587832,Pastrami,44.66,Realigned upward-trending function,Finance
48,5396757654,Soup - Campbells Chili,16.41,Fundamental uniform instruction set,Capital Goods
49,7571949294,Oil - Grapeseed Oil,4.41,Re-engineered mission-critical concept,Finance
51,2059686088,"Lemonade - Strawberry, 591 Ml",53.71,Implemented non-volatile open architecture,Public Utilities
54,6731665707,Table Cloth 53x69 White,37.61,Reduced neutral forecast,Health Care
55,2454883317,Coffee - Ristretto Coffee Capsule,24.8,Distributed demand-driven internet solution,Health Care
57,6558163282,Ginger - Ground,23.92,Self-enabling value-added protocol,Energy
58,6956269393,Tomato - Peeled Italian Canned,57.59,Team-oriented analyzing circuit,Health Care
59,3129074368,Table Cloth 62x114 Colour,27.6,Quality-focused directional internet solution,Health Care
60,7716674486,Parsnip,9.86,Object-based logistical protocol,Public Utilities
61,5295821059,"Pork - Bacon, Double Smoked",21.93,Compatible dedicated solution,Energy
62,7056810141,Cherries - Frozen,29.92,Right-sized local array,Miscellaneous
64,4418360441,Barley - Pearl,47.85,Enhanced value-added definition,Finance
65,9048268246,Stainless Steel Cleaner Vision,21.51,Open-source uniform open architecture,Finance
67,6804317052,External Supplier,13.47,Open-source holistic focus group,Health Care
68,4958745957,"Pork - Bacon, Double Smoked",72.49,User-centric high-level adapter,Energy
70,377349759,Pail With Metal Handle 16l White,57.76,User-friendly context-sensitive workforce,Technology
71,768084932,Vodka - Smirnoff,62.36,Secured local adapter,Basic Industries
72,4908737205,Otomegusa Dashi Konbu,66.53,Reactive encompassing Graphical User Interface,Technology
73,9627599181,Wine - Merlot Vina Carmen,13.24,Team-oriented dedicated hardware,Capital Goods
75,478212379,Salt - Celery,87.01,Monitored human-resource info-mediaries,Consumer Services
79,3494269327,Sauce - Balsamic Viniagrette,44.2,Distributed eco-centric contingency,Finance
81,3472857178,Raisin - Golden,61.42,Total optimizing database,Consumer Services
82,4056316929,Lettuce - Lambs Mash,87.88,Intuitive analyzing methodology,Consumer Services
84,5659243330,Cookie Double Choco,18.6,Balanced zero defect migration,Finance
85,9474800886,Vegetable - Base,4.69,Down-sized secondary website,Technology
86,7648485225,Appetizer - Southwestern,46.77,Cross-platform dynamic encoding,Finance
89,5345831694,Clams - Canned,56.35,Up-sized intangible customer loyalty,Basic Industries
90,2572429251,"Juice - Orange, 341 Ml",99.71,Reverse-engineered executive concept,Consumer Services
91,1916719209,Artichokes - Jerusalem,46.77,Cross-group attitude-oriented solution,Basic Industries
93,6379044528,"Lid - Translucent, 3.5 And 6 Oz",73.84,Decentralized hybrid infrastructure,Energy
94,3232563993,Zucchini - Green,10.8,Devolved foreground flexibility,Consumer Services
96,9800921281,"Shrimp - 16/20, Peeled Deviened",64.15,Total logistical database,Consumer Services
100,9878679181,Mushroom Morel Fresh,76.09,Operative multi-tasking policy,Health Care
106,6892910854,Bread Base - Goodhearth,56.11,Grass-roots background leverage,Health Care
108,8792385563,"Jam - Raspberry,jar",10.63,Monitored dynamic throughput,Consumer Durables
109,6600694740,Anchovy In Oil,50.69,Multi-channelled value-added info-mediaries,Consumer Non-Durables
110,1070740289,Propel Sport Drink,88.48,Profound dedicated challenge,Consumer Services
111,2990883860,Magnotta Bel Paese Red,47.65,Seamless stable installation,Miscellaneous
112,7913923535,Pork - Backfat,22.27,Team-oriented solution-oriented policy,Consumer Services
113,5879445413,"Pork - Bacon, Double Smoked",55.8,Centralized heuristic solution,Miscellaneous
117,262607790,"Mushroom - Shitake, Dry",32.58,Face to face scalable structure,Health Care
118,6412255029,Beans - Fava Fresh,75.73,Open-source holistic function,Finance
119,6223430161,"Wine - White, Gewurtzraminer",46.5,Seamless content-based Graphic Interface,Energy
120,3021730768,Wine - Tio Pepe Sherry Fino,42.93,Grass-roots hybrid hardware,Consumer Services
121,7726734689,Kellogs All Bran Bars,33.08,Enhanced zero defect artificial intelligence,Consumer Services
122,1200037133,Cup - Translucent 7 Oz Clear,12.57,Switchable attitude-oriented functionalities,Finance
125,382590663,Wine - Ej Gallo Sonoma,31.09,Centralized heuristic orchestration,Energy
127,5795400134,Eel Fresh,24.99,Up-sized foreground frame,Energy
128,502301308,Wasabi Powder,8.12,Inverse executive function,Public Utilities
129,7724869380,Molasses - Fancy,68.18,Re-engineered contextually-based analyzer,Health Care
130,7035841132,"Brandy - Orange, Mc Guiness",65.78,Proactive bottom-line contingency,Consumer Services
131,4826538894,"Appetizer - Spring Roll, Veg",69.82,Cloned maximized hierarchy,Health Care
